(0, 0)
(0.5018610954284668, 7)
(1.027994155883789, 46)
(1.547159194946289, 48)
(2.066434144973755, 9)
(2.5892510414123535, 8)
(3.10756516456604, 7)
(3.6330361366271973, 26)
(4.15787410736084, 2)
(4.673405170440674, 2)
(5.194524049758911, 2)
(5.733978986740112, 2)
(6.2554261684417725, 0)
(6.776970148086548, 10)
(7.292597055435181, 15)
(7.837496042251587, 47)
(8.378566980361938, 55)
(8.89996600151062, 43)
(9.41641902923584, 30)
(9.939760208129883, 47)
(10.453424215316772, 90)
(10.959748029708862, 81)
(11.48515510559082, 10)
(12.008610010147095, 8)
(12.527180194854736, 10)
(13.062151193618774, 15)
(13.588802099227905, 3)
(14.113909006118774, 29)
(14.640631198883057, 7)
(15.178898096084595, 13)
(15.695751190185547, 31)
(16.209391117095947, 10)
(16.727903127670288, 7)
(17.24975299835205, 6)
(17.773163080215454, 4)
(18.294559001922607, 30)
(18.811398029327393, 42)
(19.341737031936646, 44)
(19.863421201705933, 84)
(20.401084184646606, 126)
(20.917819023132324, 119)
(21.43766212463379, 45)
(21.96024513244629, 50)
(22.480409145355225, 54)
(23.010285139083862, 43)
(23.529834985733032, 9)
(24.054941177368164, 4)
(24.571129083633423, 4)
(25.096074104309082, 3)
(25.617359161376953, 2)
(26.149213075637817, 23)
(26.70135807991028, 54)
(27.236379146575928, 61)
(27.768043994903564, 51)
(28.297699213027954, 51)
(28.83020806312561, 44)
(29.341389179229736, 71)
(29.861589193344116, 82)
(30.391902208328247, 82)
(30.91551113128662, 98)
(31.434123992919922, 107)
(31.966097116470337, 84)
(32.482118129730225, 73)
(32.99752116203308, 97)
(33.50857710838318, 95)
(34.021207094192505, 86)
(34.541630029678345, 51)
(35.05750918388367, 49)
(35.569361209869385, 48)
(36.122913122177124, 34)
(36.64992618560791, 7)
(37.16141104698181, 18)
(37.680490016937256, 8)
(38.208972215652466, 8)
(38.73330903053284, 4)
(39.276655197143555, 10)
(39.80142617225647, 2)
(40.32514309883118, 13)
(40.85556507110596, 4)
(41.38540506362915, 4)
(41.90419411659241, 2)
(42.443106174468994, 13)
(42.993988037109375, 3)
(43.514870166778564, 2)
(44.033549070358276, 2)
(44.562283992767334, 2)
(45.084025144577026, 1)
(45.61061406135559, 0)
(46.13857316970825, 0)
(46.6943781375885, 0)
(47.21143698692322, 0)
(47.72650718688965, 0)
(48.24195218086243, 2)
(48.754281997680664, 21)
(49.27669620513916, 5)
(49.8166081905365, 21)
(50.36482620239258, 39)
(50.8762149810791, 8)
(51.39248609542847, 4)
(51.91222310066223, 29)
(52.43194508552551, 45)
(52.96540403366089, 69)
(53.47354221343994, 82)
(53.981640100479126, 84)
(54.49716520309448, 77)
(55.013121128082275, 48)
(55.537700176239014, 47)
(56.05085515975952, 49)
(56.58153820037842, 43)
(57.1134991645813, 5)
(57.62670016288757, 29)
(58.14165115356445, 32)
(58.670478105545044, 89)
(59.21352505683899, 48)
(59.73456311225891, 50)
(60.25574707984924, 46)
(60.776262044906616, 77)
(61.32264804840088, 82)
(61.833556175231934, 78)
(62.35532021522522, 44)
(62.88177299499512, 8)
(63.402008056640625, 4)
(63.939347982406616, 10)
(64.45641708374023, 33)
(64.97681403160095, 43)
(65.49652004241943, 77)
(66.02955198287964, 74)
(66.55136609077454, 30)
(67.06686520576477, 10)
(67.59175705909729, 10)
(68.11683201789856, 8)
(68.63998198509216, 4)
(69.16107606887817, 0)
(69.70372319221497, 0)
(70.22408509254456, 5)
(70.76236319541931, 2)
(71.30800700187683, 9)
(71.83879113197327, 4)
(72.37136912345886, 14)
(72.89006209373474, 23)
(73.40444207191467, 12)
(73.92132210731506, 14)
(74.43707609176636, 9)
(74.97056698799133, 23)
(75.50552105903625, 38)
(76.08080315589905, 6)
(76.6039650440216, 22)
(77.12902808189392, 44)
(77.63921999931335, 45)
(78.16905498504639, 39)
(78.70189499855042, 4)
(79.23442721366882, 4)
(79.75436305999756, 17)
(80.27801513671875, 18)
(80.79800415039062, 48)
(81.32329821586609, 50)
(81.85421419143677, 22)
(82.40341901779175, 47)
(82.91418409347534, 46)
(83.4229211807251, 69)
(83.95046710968018, 73)
(84.48640012741089, 77)
(85.00073504447937, 89)
(85.51784801483154, 88)
(86.05160307884216, 54)
(86.565838098526, 53)
(87.0805151462555, 52)
(87.63010215759277, 47)
(88.17511200904846, 100)
(88.70475006103516, 147)
(89.21818017959595, 142)
(89.7279691696167, 164)
(90.24268198013306, 154)
(90.77275919914246, 78)
(91.31734800338745, 41)
(91.83491802215576, 10)
(92.36540102958679, 7)
(92.91479015350342, 12)
(93.43968319892883, 5)
(93.97701501846313, 15)
(94.50686120986938, 7)
(95.04290413856506, 7)
(95.570228099823, 4)
(96.1111090183258, 3)
(96.62760305404663, 8)
(97.14065098762512, 3)
(97.66397905349731, 2)
(98.18935298919678, 13)
(98.71759915351868, 5)
(99.27187418937683, 14)
(99.79687905311584, 4)
(100.34659314155579, 4)
(100.89471006393433, 8)
(101.42343521118164, 35)
(101.95762014389038, 20)
(102.48761510848999, 4)
(103.00558519363403, 4)
(103.54519820213318, 47)
(104.08703804016113, 63)
(104.60407018661499, 48)
(105.13557505607605, 47)
(105.66018199920654, 59)
(106.20895910263062, 97)
(106.73345613479614, 98)
(107.27570509910583, 114)
(107.79959797859192, 133)
(108.3251371383667, 103)
(108.85044813156128, 88)
(109.37069702148438, 92)
(109.91314005851746, 88)
(110.43341207504272, 127)
(110.95239806175232, 143)
(111.48371911048889, 142)
(112.00880813598633, 182)
(112.55712008476257, 175)
